Timestamp: Nov 24, 2020 2:19:02 AM
NumberOfAgents: 0


"run","tick","RngSeed","numberOfAgents"
1,1.0,1606184341984,4.0
2,1.0,1606184348071,4.0
3,1.0,1606184348306,4.0
4,1.0,1606184348809,4.0
5,1.0,1606184349179,4.0
6,1.0,1606184349648,4.0
7,1.0,1606184350141,4.0
8,1.0,1606184350612,4.0
9,1.0,1606184350723,4.0
10,1.0,1606184351435,4.0
11,1.0,1606184351626,4.0
12,1.0,1606184352164,4.0
13,1.0,1606184352379,4.0
14,1.0,1606184352913,4.0
15,1.0,1606184353663,4.0
16,1.0,1606184354165,4.0
17,1.0,1606184354626,4.0
18,1.0,1606184355063,4.0
19,1.0,1606184355456,4.0
20,1.0,1606184356121,4.0
21,1.0,1606184356708,4.0
22,1.0,1606184357479,4.0
23,1.0,1606184357755,4.0
24,1.0,1606184358681,4.0
25,1.0,1606184359097,4.0
26,1.0,1606184359372,4.0
27,1.0,1606184359947,4.0
28,1.0,1606184360382,4.0
29,1.0,1606184360838,4.0
30,1.0,1606184361007,4.0
31,1.0,1606184361754,4.0
32,1.0,1606184362962,4.0
33,1.0,1606184366161,4.0
34,1.0,1606184367357,4.0
35,1.0,1606184367514,4.0
36,1.0,1606184368231,4.0
37,1.0,1606184369482,4.0
38,1.0,1606184372341,4.0
39,1.0,1606184372556,4.0
40,1.0,1606184372701,4.0
41,1.0,1606184374135,4.0
42,1.0,1606184374313,4.0
43,1.0,1606184375205,4.0
44,1.0,1606184375291,4.0
45,1.0,1606184376040,4.0
46,1.0,1606184376589,4.0
47,1.0,1606184377058,4.0
48,1.0,1606184377471,4.0
49,1.0,1606184377958,4.0
50,1.0,1606184378491,4.0
51,1.0,1606184379115,4.0
52,1.0,1606184379412,4.0
53,1.0,1606184379841,4.0
54,1.0,1606184380290,4.0
55,1.0,1606184381068,4.0
56,1.0,1606184381422,4.0
57,1.0,1606184381679,4.0
58,1.0,1606184382596,4.0
59,1.0,1606184383262,4.0
60,1.0,1606184384066,4.0
61,1.0,1606184384690,4.0
62,1.0,1606184384810,4.0
63,1.0,1606184385315,4.0
64,1.0,1606184385937,4.0
65,1.0,1606184386475,4.0
66,1.0,1606184387042,4.0
67,1.0,1606184387529,4.0
68,1.0,1606184388138,4.0
69,1.0,1606184388756,4.0
70,1.0,1606184388793,4.0
71,1.0,1606184389816,4.0
72,1.0,1606184390360,4.0
73,1.0,1606184390992,4.0
74,1.0,1606184391927,4.0
75,1.0,1606184392443,4.0
76,1.0,1606184392789,4.0
77,1.0,1606184394128,4.0
78,1.0,1606184394690,4.0
79,1.0,1606184395415,4.0
80,1.0,1606184396137,4.0
81,1.0,1606184396923,4.0
82,1.0,1606184397438,4.0
83,1.0,1606184397945,4.0
84,1.0,1606184398499,4.0
85,1.0,1606184399084,4.0
86,1.0,1606184399967,4.0
87,1.0,1606184400831,4.0
88,1.0,1606184401352,4.0
89,1.0,1606184402542,4.0
90,1.0,1606184403182,4.0
91,1.0,1606184403848,4.0
92,1.0,1606184404340,4.0
93,1.0,1606184407330,4.0
94,1.0,1606184409206,4.0
95,1.0,1606184409566,4.0
96,1.0,1606184410249,4.0
97,1.0,1606184410874,4.0
98,1.0,1606184411355,4.0
99,1.0,1606184412090,4.0
100,1.0,1606184412354,4.0
101,1.0,1606184415972,4.0
102,1.0,1606184416099,4.0
103,1.0,1606184416555,4.0
104,1.0,1606184416694,4.0
105,1.0,1606184417458,4.0
